tag	root	morphophonemics	features	is_compound
RB-TEMP	akşam	~	+[Temporal=True]	FALSE
RB-TEMP	akşamleyin	~	+[Temporal=True]	FALSE
RB-TEMP	akşamüstü	akşamüst	+[Temporal=True]	TRUE
RB-TEMP	akşamüstü	~	+[Temporal=True]	FALSE
RB-TEMP	akşamüzeri	akşamüzer	+[Temporal=True]	TRUE
RB-TEMP	akşamüzeri	~	+[Temporal=True]	FALSE
RB-TEMP	asır	ası?r	+[Temporal=True]	FALSE
RB-TEMP	ay	~	+[Temporal=True]	FALSE
RB-TEMP	binyıl	~	+[Temporal=True]	FALSE
RB-TEMP	birgün	~	+[Temporal=True]	FALSE
RB-TEMP	bugün	~	+[Temporal=True]	FALSE
RB-TEMP	çeyrek	~	+[Temporal=True]	FALSE
RB-TEMP	dakika	~	+[Temporal=True]	FALSE
RB-TEMP	demin	~	+[Temporal=True]	FALSE
RB-TEMP	dün	~	+[Temporal=True]	FALSE
RB-TEMP	epey	~	+[Temporal=True]	FALSE
RB-TEMP	epeyi	~	+[Temporal=True]	FALSE
RB-TEMP	eskiden	~	+[Temporal=True]	FALSE
RB-TEMP	gece	~	+[Temporal=True]	FALSE
RB-TEMP	geceleyin	~	+[Temporal=True]	FALSE
RB-TEMP	geceyarısı	geceyarı	+[Temporal=True]	TRUE
RB-TEMP	geceyarısı	~	+[Temporal=True]	FALSE
RB-TEMP	gün	~	+[Temporal=True]	FALSE
RB-TEMP	günaşırı	~	+[Temporal=True]	FALSE
RB-TEMP	gündüz	~	+[Temporal=True]	FALSE
RB-TEMP	gündüzleyin	~	+[Temporal=True]	FALSE
RB-TEMP	hafta	~	+[Temporal=True]	FALSE
RB-TEMP	haftabaşı	haftabaş	+[Temporal=True]	TRUE
RB-TEMP	haftabaşı	~	+[Temporal=True]	FALSE
RB-TEMP	haftasonu	haftason	+[Temporal=True]	TRUE
RB-TEMP	haftasonu	~	+[Temporal=True]	FALSE
RB-TEMP	hayır	~	+[Temporal=True]	FALSE
RB-TEMP	hergün	~	+[Temporal=True]	FALSE
RB-TEMP	herzaman	~	+[Temporal=True]	FALSE
RB-TEMP	işgünü	işgün	+[Temporal=True]	TRUE
RB-TEMP	işgünü	~	+[Temporal=True]	FALSE
RB-TEMP	mikrosaniye	~	+[Temporal=True]	FALSE
RB-TEMP	milenyum	~	+[Temporal=True]	FALSE
RB-TEMP	milisaniye	~	+[Temporal=True]	FALSE
RB-TEMP	nanosaniye	~	+[Temporal=True]	FALSE
RB-TEMP	öğle	~	+[Temporal=True]	FALSE
RB-TEMP	öğlen	~	+[Temporal=True]	FALSE
RB-TEMP	öğlenleyin	~	+[Temporal=True]	FALSE
RB-TEMP	öğleüstü	öğleüst	+[Temporal=True]	TRUE
RB-TEMP	öğleüstü	~	+[Temporal=True]	FALSE
RB-TEMP	öğleüzeri	öğleüzer	+[Temporal=True]	TRUE
RB-TEMP	öğleüzeri	~	+[Temporal=True]	FALSE
RB-TEMP	öğleyin	~	+[Temporal=True]	FALSE
RB-TEMP	önce	~	+[Temporal=True]	FALSE
RB-TEMP	onyıl	~	+[Temporal=True]	FALSE
RB-TEMP	pikosaniye	~	+[Temporal=True]	FALSE
RB-TEMP	saat	sa{t	+[Temporal=True]	FALSE
RB-TEMP	sabah	~	+[Temporal=True]	FALSE
RB-TEMP	sabahleyin	~	+[Temporal=True]	FALSE
RB-TEMP	salise	~	+[Temporal=True]	FALSE
RB-TEMP	saniye	~	+[Temporal=True]	FALSE
RB-TEMP	sene	~	+[Temporal=True]	FALSE
RB-TEMP	seneye	~	+[Temporal=True]	FALSE
RB-TEMP	şimdi	~	+[Temporal=True]	FALSE
RB-TEMP	şimdileyin	~	+[Temporal=True]	FALSE
RB-TEMP	sonra	~	+[Temporal=True]	FALSE
RB-TEMP	tamgün	~	+[Temporal=True]	FALSE
RB-TEMP	yarımgün	~	+[Temporal=True]	FALSE
RB-TEMP	yarın	~	+[Temporal=True]	FALSE
RB-TEMP	yarıyıl	~	+[Temporal=True]	FALSE
RB-TEMP	yıl	~	+[Temporal=True]	FALSE
RB-TEMP	yılbaşı	yılbaş	+[Temporal=True]	TRUE
RB-TEMP	yılbaşı	~	+[Temporal=True]	FALSE
RB-TEMP	yılsonu	yılson	+[Temporal=True]	TRUE
RB-TEMP	yılsonu	~	+[Temporal=True]	FALSE
RB-TEMP	yüzyıl	~	+[Temporal=True]	FALSE
RB-TEMP	zaman	~	+[Temporal=True]	FALSE
