tag	root	morphophonemics	features	is_compound
DT	aynı	~	+[DeterminerType=Def]	FALSE
DT	az	~	+[DeterminerType=Ind]	FALSE
DT	azıcık	~	+[DeterminerType=Ind]	FALSE
DT	başka	~	+[DeterminerType=Ind]	FALSE
DT	bazı	~	+[DeterminerType=Ind]	FALSE
DT	beher	~	+[DeterminerType=Def]	FALSE
DT	beri	~	+[DeterminerType=Dir]	FALSE
DT	beriki	~	+[DeterminerType=Def]	FALSE
DT	bilcümle	~	+[DeterminerType=Def]	FALSE
DT	bilumum	~	+[DeterminerType=Def]	FALSE
DT	binbir	~	+[DeterminerType=Ind]	FALSE
DT	bir	~	+[DeterminerType=Ind]	FALSE
DT	biraz	~	+[DeterminerType=Ind]	FALSE
DT	birçok	~	+[DeterminerType=Ind]	FALSE
DT	birkaç	birkaÇ	+[DeterminerType=Ind]	FALSE
DT	birtakım	~	+[DeterminerType=Ind]	FALSE
DT	böyle	~	+[DeterminerType=Dem]	FALSE
DT	bu	~	+[DeterminerType=Dem]	FALSE
DT	bunca	~	+[DeterminerType=Ind]	FALSE
DT	bütün	~	+[DeterminerType=Def]	FALSE
DT	cemi	~	+[DeterminerType=Def]	FALSE
DT	çoğu	~	+[DeterminerType=Ind]	FALSE
DT	çok	~	+[DeterminerType=Ind]	FALSE
DT	çok	çoK	+[DeterminerType=Ind]	FALSE
DT	çokça	~	+[DeterminerType=Ind]	FALSE
DT	cümle	~	+[DeterminerType=Def]	FALSE
DT	diğer	~	+[DeterminerType=Ind]	FALSE
DT	falan	~	+[DeterminerType=Ind]	FALSE
DT	falanca	~	+[DeterminerType=Ind]	FALSE
DT	fazla	~	+[DeterminerType=Ind]	FALSE
DT	filânca	~	+[DeterminerType=Ind]	FALSE
DT	her	~	+[DeterminerType=Def]	FALSE
DT	herhangi	~	+[DeterminerType=Ind]	FALSE
DT	hiç	hiÇ	+[DeterminerType=Ind]	FALSE
DT	hiçbir	~	+[DeterminerType=Ind]	FALSE
DT	işbu	~	+[DeterminerType=Dem]	FALSE
DT	kâffe	~	+[DeterminerType=Def]	FALSE
DT	kimi	~	+[DeterminerType=Ind]	FALSE
DT	o	~	+[DeterminerType=Dem]	FALSE
DT	öbür	~	+[DeterminerType=Ind]	FALSE
DT	onca	~	+[DeterminerType=Ind]	FALSE
DT	öte	~	+[DeterminerType=Dir]	FALSE
DT	öteki	~	+[DeterminerType=Def]	FALSE
DT	öyle	~	+[DeterminerType=Dem]	FALSE
DT	şöyle	~	+[DeterminerType=Dem]	FALSE
DT	şu	~	+[DeterminerType=Dem]	FALSE
DT	şunca	~	+[DeterminerType=Ind]	FALSE
DT	şuncacık	~	+[DeterminerType=Ind]	FALSE
DT	ta	~	+[DeterminerType=Dem]	FALSE
DT	tam	~	+[DeterminerType=Def]	FALSE
DT	tamam	~	+[DeterminerType=Def]	FALSE
DT	tek	teK	+[DeterminerType=Def]	FALSE
DT	tıpkı	~	+[DeterminerType=Def]	FALSE
DT	tüm	~	+[DeterminerType=Def]	FALSE
