tag	root	morphophonemics	features	is_compound
VB-HL-HR-T	abar	~	~	FALSE
VB-HL-HR-T	ağar	~	~	FALSE
VB-HL-HR-T	aksır	~	~	FALSE
VB-HL-HR-T	aktar	~	~	FALSE
VB-HL-HR-T	aldır	~	~	FALSE
VB-HL-HR-T	anır	~	~	FALSE
VB-HL-HR-T	apar	~	~	FALSE
VB-HL-HR-T	araştır	~	~	FALSE
VB-HL-HR-T	artır	~	~	FALSE
VB-HL-HR-T	aşer	~	~	FALSE
VB-HL-HR-T	aşır	~	~	FALSE
VB-HL-HR-T	atıştır	~	~	FALSE
VB-HL-HR-T	ayır	ayı?r	~	FALSE
VB-HL-HR-T	bağır	bağı?r	~	FALSE
VB-HL-HR-T	başar	~	~	FALSE
VB-HL-HR-T	başgöster	~	~	FALSE
VB-HL-HR-T	başkaldır	~	~	FALSE
VB-HL-HR-T	becer	~	~	FALSE
VB-HL-HR-T	beler	~	~	FALSE
VB-HL-HR-T	belir	~	~	FALSE
VB-HL-HR-T	böğür	böğü?r	~	FALSE
VB-HL-HR-T	bolar	~	~	FALSE
VB-HL-HR-T	bozar	~	~	FALSE
VB-HL-HR-T	buyur	~	~	FALSE
VB-HL-HR-T	çağır	çağı?r	~	FALSE
VB-HL-HR-T	çemkir	~	~	FALSE
VB-HL-HR-T	çevir	çevi?r	~	FALSE
VB-HL-HR-T	çiziktir	~	~	FALSE
VB-HL-HR-T	çığır	çığı?r	~	FALSE
VB-HL-HR-T	çığır	çığır	~	FALSE
VB-HL-HR-T	çıkar	~	~	FALSE
VB-HL-HR-T	çıldır	~	~	FALSE
VB-HL-HR-T	çımkır	~	~	FALSE
VB-HL-HR-T	çızıktır	~	~	FALSE
VB-HL-HR-T	değir	~	~	FALSE
VB-HL-HR-T	delir	~	~	FALSE
VB-HL-HR-T	denşir	~	~	FALSE
VB-HL-HR-T	devir	~	~	FALSE
VB-HL-HR-T	devşir	~	~	FALSE
VB-HL-HR-T	dolandır	~	~	FALSE
VB-HL-HR-T	doyur	~	~	FALSE
VB-HL-HR-T	eğir	~	~	FALSE
VB-HL-HR-T	elegeçir	~	~	FALSE
VB-HL-HR-T	eleştir	~	~	FALSE
VB-HL-HR-T	emzir	~	~	FALSE
VB-HL-HR-T	ergür	~	~	FALSE
VB-HL-HR-T	eser	~	~	FALSE
VB-HL-HR-T	esindir	~	~	FALSE
VB-HL-HR-T	evir	~	~	FALSE
VB-HL-HR-T	fışkır	~	~	FALSE
VB-HL-HR-T	geber	~	~	FALSE
VB-HL-HR-T	geçir	~	~	FALSE
VB-HL-HR-T	geğir	~	~	FALSE
VB-HL-HR-T	getir	~	~	FALSE
